Dimension,TagSet,Definition,Reference,TagSet Decomposition,usesEquipment,isPartOf,hasSynonym,hasUnit,hasAbbreviation,can be named? (can be instantiated?),can be unnamed? (cannot be instantiated?),Author,Reviewed,Review Count,Discussion,usesPoint,usesLocation,usesMeasurement
Point>Setpoint,Deceleration Time Setpoint,Setpoint for deceleration,,,VFD,,,,,O,X,Bharath,,,,Setpoint,,
Point>Setpoint,High Humidity Alarm Setpoint,,,,CRAC,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint,High Temperature Alarm Setpoint,,,,CRAC,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint,Humidity Setpoint,,,,CRAC,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint,Rated Speed Setpoint,Maximum speed specified by manufacturer,,,VFD,,,,,O,X,Bharath,,,,Setpoint,,
Point>Setpoint,Temperature Setpoint,,,,CRAC,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint,Zone Temperature Setpoint,A temperature setpoint in charge of a zone.,,,VAV,,,Fahrenheit,,O,X,Jason,,,,Setpoint,Zone,
Point>Setpoint,Min Fresh Air Setpoint,,,,AHU,,,,,,,,,,,Setpoint,,
Point>Setpoint>Air Flow Setpoint,Ventilation Air Flow Ratio Limit Setpoint,,,,VAV,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Alarm Delay Setpoint,Pump Alarm Delay Setpoint,,,,Pump,,,,,,,,,,,Setpoint,,
Point>Setpoint>Alarm Delay Setpoint>Pump Alarm Delay Setpoint,Chilled Water Pump Alarm Delay Setpoint,,,,CWS,,,,,,,Jason,,,,Setpoint,,
Point>Sensor,Capacity Sensor,,,,CRAC,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>CO2 Setpoint>Return Air CO2 Setpoint,Max Return Air CO2 Setpoint,,,,AHU,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Damper Position Setpoint,Economizer Damper Min Position Setpoint,Part of economizer to ensure minimum air flow,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Damper Position Setpoint,Outside Air Damper Close Limit Setpoint,,,,VAV,,,,,,,Dezhi,,,,Setpoint,Outside,
Point>Setpoint>Damper Position Setpoint,Outside Air Damper Min Position Setpoint,Part of economizer to ensure minimum air flow,,,AHU,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Damper Position Setpoint,Supply Air Damper Max Position Setpoint,,,,,,Discharge Air Damper Max Position Setpoint,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint,Chilled Water Differential Pressure Dead Band Setpoint,,,,CWS,,,,,,,,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Differential Pressure Dead Band Setpoint,Chilled Water Pump Differential Pressure Dead Band Setpoint,,,,CWS,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Differential Pressure Dead Band Setpoint,Hot Water Differential Pressure Dead Band Setpoint,,,,HWS,,,,,,,,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint,Cooling Discharge Air Temperature Dead Band Setpoint,,,,AHU,,Cooling Supply Air Temperature Dead Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint,Economizer Discharge Air Temperature Dead Band Setpoint,,,,AHU,,Economizer Supply Air Temperature Dead Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint,Heating Discharge Air Temperature Dead Band Setpoint,,,,AHU,,Heating Supply Air Temperature Dead Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Exhaust Air Flow Dead Band Setpoint,Exhaust Air Stack Flow Dead Band Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Static Pressure Dead Band Setpoint,Discharge Air Static Pressure Dead Band Setpoint,,,,AHU,,Supply Air Static Pressure Dead Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Static Pressure Dead Band Setpoint,Exhaust Air Static Pressure Dead Band Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Supply Water Differential Pressure Dead Band Setpoint,Thermal Energy Storage Supply Water Differential Pressure Dead Band Setpoint,,,,Thermal Energy Storage,,Thermal Energy Storage Discharge Water Differential Pressure Dead Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Supply Water Temperature Dead Band Setpoint,Heat Exchanger Supply Water Temperature Dead Band Setpoint,,,,HWS,,Heat Exchanger Discharge Water Temperature Dead Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Dead Band Setpoint>Zone Cooling Temperature Dead Band Setpoint,Occupied Cooling Temperature Dead Band Setpoint,,,,VAV,,,,,,,,,,,Setpoint,Zone,
Point>Setpoint>Dead Band Setpoint>Zone Heating Temperature Dead Band Setpoint,Occupied Heating Temperature Dead Band Setpoint,,,,VAV,,,,,,,,,,,Setpoint,Zone,
Point>Setpoint>Demand Setpoint,Cooling Demand Setpoint,,,,AHU; VAV,,Cooling Request Setpoint,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Demand Setpoint,Cooling Request Setpoint,,,,AHU; VAV,,,,,,,,,,,,,
Point>Setpoint>Demand Setpoint,Cooling Request Percent Setpoint,,,,AHU,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Demand Setpoint,Discharge Air Flow Demand Setpoint,,,,AHU,,Supply Air Flow Demand Setpoint,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Demand Setpoint,Heating Request Percent Setpoint,,,,AHU,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Demand Setpoint,Heating Request Setpoint,,,,AHU; VAV,,,,,,,,,,,,,
Point>Setpoint>Demand Setpoint,Heating Demand Setpoint,,,,AHU; VAV,,Heating Request Setpoint,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Demand Setpoint,Preheat Demand Setpoint,,,,AHU,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Dew Point Setpoint>Economizer Dewpoint Setpoint,Economizer Disable Fixed Dewpoint Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Dew Point Setpoint>Economizer Dewpoint Setpoint,Economizer Enable Fixed Dewpoint Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Disable Differential Enthalpy Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Disable Fixed Enthalpy Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Enable Differential Enthalpy Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Enthalpy Setpoint>Economizer Enthalpy Setpoint,Economizer Enable Fixed Enthalpy Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Discharge Air Flow Setpoint,,,,VAV,,Supply Air Flow Setpoint,,,O,X,Jason,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Economizer Outside Air Flow Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Outside Min Air Flow Setpoint,,,,AHU,,,,,,,Jason,,,,Setpoint,Outside,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint,Fan Air Flow Setpoint,,,,,,,,,,,,,,,,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Fan Air Flow Setpoint,Booster Fan Air Flow Setpoint,,,,VAV,,,,,,,,,,,,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Fan Air Flow Setpoint,Exhaust Fan Air Flow Setpoint,,,,AHU,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint,Heating Discharge Air Flow Setpoint,,,,VAV,,Heating Supply Air Flow Setpoint,,,,,Jason,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Cooling Max Discharge Air Flow Setpoint,,,,VAV,,Cooling Max Supply Air Flow Setpoint,,,O,X,Jason,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Cooling Min Discharge Air Flow Setpoint,,,,VAV,,Cooling Min Supply Air Flow Setpoint,,,,,,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Occupied Cooling Discharge Air Flow Setpoint,,,,VAV,,Occupied Cooling Supply Air Flow Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint,Unoccupied Cooling Discharge Air Flow Setpoint,,,,VAV,,Unoccupied Cooling Supply Air Flow Setpoint,,,,,,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint>Occupied Cooling Discharge Air Flow Setpoint,Occupied Cooling Max Discharge Air Flow Setpoint,,,,VAV,,Occupied Cooling Max Supply Air Flow Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Cooling Discharge Air Flow Setpoint>Occupied Cooling Discharge Air Flow Setpoint,Occupied Cooling Min Discharge Air Flow Setpoint,,,,VAV,,Occupied Cooling Min Supply Air Flow Setpoint,,,O,X,Jason,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint,Heating Max Discharge Air Flow Setpoint,,,,VAV,,Heating Max Supply Air Flow Setpoint,,,,,,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint,Heating Min Discharge Air Flow Setpoint,,,,VAV,,Heating Min Supply Air Flow Setpoint,,,,,,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint,Occupied Heating Discharge Air Flow Setpoint,,,,VAV,,Occupied Heating Supply Air Flow Setpoint,,,O,X,Jason,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint>Occupied Heating Discharge Air Flow Setpoint,Occupied Heating Max Discharge Air Flow Setpoint,,,,VAV,,Occupied Heating Max Supply Air Flow Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Discharge Air Flow Setpoint>Heating Discharge Air Flow Setpoint>Occupied Heating Discharge Air Flow Setpoint,Occupied Heating Min Discharge Air Flow Setpoint,,,,VAV,,Occupied Heating Min Supply Air Flow Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Flow Setpoint>Air Flow Setpoint>Exhaust Air Flow Setpoint,Exhaust Air Stack Flow Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Humidity Setpoint,Low Humidity Alarm Setpoint,,,,CRAC,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Increase Decrease Step Setpoint,Chilled Water Differential Pressure Increase Decrease Step Setpoint,,,,CWS,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Increase Decrease Step Setpoint,Discharge Air Static Pressure Increase Decrease Step Setpoint,,,,AHU,,Supply Air Static Pressure Increase Decrease Step Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Increase Decrease Step Setpoint,Discharge Air Temperature Setpoint Increase Decrease Step,,,,AHU,,Supply Air Temperature Setpoint Increase Decrease Step,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint,Chilled Water Differential Pressure Integral Time Setpoint,,,,CWS,,,,,,,,,,,Setpoint,,
Point>Setpoint>Integral Gain Setpoint,Supply Air Integrative Gain Factor,,,,,,,,,,,,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint,Discharge Air Static Pressure Integral Time Setpoint,,,,AHU; Supply Fan,,Supply Air Static Pressure Integral Time Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint>Differential Pressure Integral Time,Chilled Water Pump Differential Pressure Integration Time Setpoint,,,,CWS,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint>Differential Pressure Integral Time Setpoint,Hot Water Differential Pressure Integral Time Setpoint,,,,HWS,,,,,,,,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint,Cooling Discharge Air Temperature Integral Time Setpoint,,,,AHU,,Cooling Supply Air Temperature Integral Time Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint,Heating Discharge Air Temperature Integral Time Setpoint,,,,AHU,,Heating Supply Air Temperature Integral Time Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint>Exhaust Air Flow Integral Time Setpoint,Exhaust Air Stack Flow Integral Time Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint>Static Pressure Integral Time Setpoint,Exhaust Air Static Pressure Integral Time Setpoint,,,,AHU;Exhaust Fan,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint>Supply Water Differential Pressure Integral Time Setpoint,Thermal Energy Storage Supply Water Differential Pressure Integral Time Setpoint,,,,Thermal Energy Storage,,Thermal Energy Storage Discharge Water Differential Pressure Integral Time Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Integral Time Setpoint>Supply Water Temperature Integral Time Setpoint,Heat Exchanger Supply Water Temperature Integral Time Setpoint,,,,HWS,,Heat Exchanger Discharge Water Temperature Integral Time Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Load Setpoint>Max Load Setpoint,Chiller Max Load Setpoint,,,,Chiller,,,,,,,Arka,,,,Setpoint,,
Point>Setpoint>Mode Setpoint,Dual Band Mode Setpoint,virtual point used for controls,,,AHU,,,,,,,Marco,,,,Setpoint,,
Point>Setpoint>Mode Setpoint,Unoccupied Mode Setpoint,virtual point used for controls,,,AHU,,,,,,,Marco,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint,Chilled Water Differential Pressure Setpoint,,,,CWS,,,,,O,X,Jason,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint,Hot Water Differential Pressure Setpoint,,,,HWS,,,,,,,Jason,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Chilled Water Differential Pressure Setpoint,Max Chilled Water Differential Pressure Setpoint,,,,CWS,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Chilled Water Differential Pressure Setpoint,Min Chilled Water Differential Pressure Setpoint,,,,CWS,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Load Shed Differential Pressure Setpoint,Chilled Water Differential Pressure Load Shed Setpoint,,,,DemandResponse,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Differential Pressure Setpoint>Load Shed Differential Pressure Setpoint,Medium Temperature Hot Water Differential Pressure Load Shed Setpoint,,,,DemandResponse,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Building Static Pressure Setpoint,,,,AHU,,,,,,,,,,,Setpoint,Building,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Chilled Water Static Pressure Setpoint,,,,CWS,,,,,,,Jason,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Discharge Air Static Pressure Setpoint,,,,AHU,,Supply Air Static Pressure Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Exhaust Air Static Pressure Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,High Static Pressure Cutout Limit Setpoint,,,,VAV,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Hot Water Static Pressure Setpoint,,,,HWS,,,,,,,Jason,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Static Pressure Max Setpoint,Max Static Pressure in the supply duct (per Design),,,AHU,,,,,,,Marco,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint,Static Pressure Min Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint>Discharge Air Static Pressure Setpoint,Max Discharge Air Static Pressure Setpoint,,,,AHU,,Max Supply Air Static Pressure Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint>Static Pressure Setpoint>Discharge Air Static Pressure Setpoint,Min Discharge Air Static Pressure Setpoint,,,,AHU,,Min Supply Air Static Pressure Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Pressure Setpoint,Velocity Pressure Setpoint,,,,AHU; Exhaust Fan,,,,,,,,,,,,,
Point>Setpoint>Proportional Band Setpoint,Chilled Water Differential Pressure Proportional Band Setpoint,,,,CWS,,,,,,,,,,,Setpoint,,
Point>Setpoint>Proportional Gain Setpoint,Supply Air Proportional Gain Factor,,,,AHU; Supply Fan,,,,,,,,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint,Discharge Air Static Pressure Proportional Band Setpoint,,,,AHU; Supply Fan,,Supply Air Static Pressure Proportional Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint>Differential Pressure Proportional Band,Chilled Water Pump Differential Pressure Proportional Band Setpoint,,,,CWS,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint>Differential Pressure Proportional Band Setpoint,Hot Water Differential Pressure Proportional Band Setpoint,,,,HWS,,,,,,,,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint,Cooling Discharge Air Temperature Proportional Band Setpoint,,,,AHU,,Cooling Supply Air Temperature Proportional Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint,Economizer Discharge Air Temperature Proportional Band Setpoint,,,,AHU,,Economizer Supply Air Temperature Proportional Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint,Heating Discharge Air Temperature Proportional Band Setpoint,,,,AHU,,Heating Supply Air Temperature Proportional Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint>Exhaust Air Flow Proportional Band Setpoint,Exhaust Air Stack Flow Proportional Band Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint>Static Pressure Proportional Band Setpoint,Exhaust Air Static Pressure Proportional Band Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint>Supply Water Differential Pressure Proportional Band Setpoint,Thermal Energy Storage Supply Water Differential Pressure Proportional Band Setpoint,,,,Thermal Energy Storage,,Thermal Energy Storage Discharge Water Differential Pressure Proportional Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Proportional Band Setpoint>Supply Water Temperature Proportional Band Setpoint,Heat Exchanger Supply Water Temperature Proportional Band Setpoint,,,,HWS,,Heat Exchanger Discharge Water Temperature Proportional Band Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Reset Setpoint,Discharge Air Temperature Reset High Setpoint,,,,AHU,,Supply Air Temperature Reset High Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Reset Setpoint,Discharge Air Temperature Reset Low Setpoint,,,,AHU,,Supply Air Temperature Reset Low Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Reset Setpoint>Temperature Differential Reset Setpoint,Discharge Air Temperature Reset Differential Setpoint,,,,AHU,,Supply Air Temperature Reset Differential Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Reset Setpoint>Temperature High Reset Setpoint,Outside Air Temperature High Reset Setpoint,,,,AHU; Heat Exchanger,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Reset Setpoint>Temperature High Reset Setpoint>Hot Water Supply Temperature High Reset Setpoint,Medium Temperature Hot Water Supply Temperature High Reset Setpoint,,,,HWS,,Medium Temperature Hot Water Discharge Temperature High Reset Setpoint,,,,,Jason,,,,Setpoint,,
Point>Setpoint>Reset Setpoint>Temperature Low Reset Setpoint,Outside Air Temperature Low Reset Setpoint,,,,AHU; Heat Exchanger,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Reset Setpoint>Temperature Low Reset Setpoint>Hot Water Supply Temperature Low Reset Setpoint,Medium Temperature Hot Water Supply Temperature Low Reset Setpoint,,,,HWS,,Medium Temperature Hot Water Discharge Temperature Low Reset Setpoint,,,,,Jason,,,,Setpoint,,
Point>Setpoint>Reset Setpoint>Discharge Air Flow Reset Setpoint,Discharge Air Flow Reset Low Setpoint,,,,AHU,,,,,,,,,,,,,
Point>Setpoint>Reset Setpoint>Discharge Air Flow Reset Setpoint,Discharge Air Flow Reset High Setpoint,,,,AHU,,,,,,,,,,,,,
Point>Setpoint>Speed Setpoint>Differential Speed Setpoint,Return Fan Differential Speed Setpoint,,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Speed Setpoint>Differential Speed Setpoint,Return Supply Fan Differential Speed Setpoint,,,,AHU,,Return Discharge Fan Differential Speed Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Speed Setpoint>Fan Speed Setpoint,Cooling Tower Fan Speed Setpoint,,,,Water System,,,,,O,X,Jason,,,,Setpoint,,
Point>Setpoint>Speed Setpoint>VFD Speed Setpoint,Max VFD Speed Setpoint,Max VFD Speed To Increase Static Pressure Setpoint,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Speed Setpoint>VFD Speed Setpoint,Min VFD Speed Setpoint,Min VFD Speed To Increase Static Pressure Setpoint,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Disable Hot Water System Outside Air Temperature Setpoint,,,,HWS,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Temperature Setpoint,Discharge Air Temperature Setpoint,,,,VAV; AHU; FCU,,Supply Air Temperature Setpoint,,,,,Jason,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Economizer Temperature Setpoint,,,,Economizer,,,,,,,,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Enable Hot Water System Outside Air Temperature Setpoint,,,,HWS,,,,,,,,,,,Setpoint,Outside,
Point>Setpoint>Temperature Setpoint,Low Outside Air Temperature Enable Setpoint,Temperature at which outside air is Low,,,AHU,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Temperature Setpoint,Low Temperature Alarm Setpoint,,,,CRAC,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Mixed Air Temperature Setpoint,,,,AHU,,,,,,,Marco,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Open Heating Valve Outside Air Temperature Setpoint,,,,HWS,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Temperature Setpoint,Outside Air Lockout Temperature Setpoint,Temperature at which chiller stops cooling because outside air is too cold already,,,AHU,,,,,,,Bharath,,,,Setpoint,Outside,
Point>Setpoint>Temperature Setpoint,Room Temperature Setpoint,,,,VAV,,,Fahrenheit,,,,,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Schedule Temperature Setpoint,,,,VAV,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Supply Water Temperature Setpoint,,,,Water System; HWS; CWS,,Discharge Water Temperature Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Auto Cooling Temperature Setpoint,,,,AHU,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Current Cooling Setpoint,,,,AHU,,,,,,,Josh,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Effective Cooling Temperature Setpoint,,,,VAV,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Unoccupied Cooling Temperature Setpoint,,,,VAV,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Cooling Temperature Setpoint,Occupied Cooling Temperature Setpoint,,,,VAV,,,,,,,,,,,,,
Point>Setpoint>Temperature Setpoint,Discharge Air Temperature Cooling Setpoint,,,,VAV; AHU; FCU,,Supply Air Temperature Cooling Setpoint,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Discharge Air Temperature Heating Setpoint,,,,VAV; AHU; FCU,,Supply Air Temperature Heating Setpoint,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Economizer Differential Air Temperature Setpoint,Difference between return air flow and outside air flow,,,AHU,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Max Discharge Air Temperature Setpoint,,,,AHU,,Max Supply Air Temperature Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint,Min Discharge Air Temperature Setpoint,,,,AHU,,Min Supply Air Temperature Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Disable Differential Temperature Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Disable Fixed Temperature Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Enable Differential Temperature Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Economizer Temperature Setpoint,Economizer Enable Fixed Temperature Setpoint,,,,,,,,,,,Dezhi,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Heating Temperature Setpoint,Effective Heating Temperature Setpoint,,,,VAV,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Heating Temperature Setpoint,Unoccupied Heating Temperature Setpoint,,,,VAV,,,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Heating Temperature Setpoint,Occupied Heating Temperature Setpoint,,,,VAV,,,,,,,,,,,,,
Point>Setpoint>Temperature Setpoint>Supply Water Temperature Setpoint,Heat Exchanger Supply Water Temperature Setpoint,,,,HWS,,Heat Exchanger Discharge Water Temperature Setpoint,,,,,Bharath,,,,Setpoint,,
Point>Setpoint>Temperature Setpoint>Supply Water Temperature Setpoint>Hot Water Supply Temperature Setpoint,Domestic Hot Water Supply Temperature Setpoint,,,,DHWS,,Domestic Hot Water Discharge Temperature Setpoint,,,,,Bharath,,,,Setpoint,,
