@id,brick:inMode,brick:ofSystem/Equipment/Process,brick:hasSubstance,brick:isDifferential,brick:hasQuantity/Enumeration,rdfs:subClassOf,todo:,skos:definition
brick:Leaving_High_Temperature_Hot_Water_Temperature_Sensor,,,brick:Leaving_High_Temperature_Hot_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of high-temperature hot water supplied by a hot water system
brick:Leaving_Hot_Water_Flow_Sensor,,,brick:Leaving_Hot_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of hot leaving water
brick:Leaving_Hot_Water_Flow_Setpoint,,,brick:Leaving_Hot_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of hot leaving water
brick:Leaving_Hot_Water_Temperature_High_Reset_Setpoint,,,brick:Leaving_Hot_Water,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Leaving_Hot_Water_Temperature_Load_Shed_Status,,brick:Load_Shed,brick:Leaving_Hot_Water,,quantitykind:Temperature,brick:Status,,
brick:Leaving_Hot_Water_Temperature_Low_Reset_Setpoint,,,brick:Leaving_Hot_Water,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Leaving_Hot_Water_Temperature_Sensor,,,brick:Leaving_Hot_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of water supplied by a hot water system
brick:Leaving_Hot_Water_Temperature_Setpoint,,,brick:Leaving_Hot_Water,,quantitykind:Temperature,brick:Setpoint,,Temperature setpoint for leaving hot water
brick:Leaving_Medium_Temperature_Hot_Water_Temperature_High_Reset_Setpoint,,,brick:Leaving_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Leaving_Medium_Temperature_Hot_Water_Temperature_Load_Shed_Setpoint,,brick:Load_Shed,brick:Leaving_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Setpoint,,
brick:Leaving_Medium_Temperature_Hot_Water_Temperature_Load_Shed_Status,,brick:Load_Shed,brick:Leaving_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Status,,
brick:Leaving_Medium_Temperature_Hot_Water_Temperature_Low_Reset_Setpoint,,,brick:Leaving_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Leaving_Medium_Temperature_Hot_Water_Temperature_Sensor,,,brick:Leaving_Medium_Temperature_Hot_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of medium-temperature hot water supplied by a hot water system
brick:Leaving_Water_Differential_Pressure_Deadband_Setpoint,,,brick:Leaving_Water,brick:Differential,quantitykind:Pressure,brick:Deadband_Setpoint,,Sets the size of a deadband of differential pressure of leaving water
brick:Leaving_Water_Differential_Pressure_Integral_Time_Parameter,,,brick:Leaving_Water,brick:Differential,quantitykind:Pressure,brick:Integral_Time_Parameter,,
brick:Leaving_Water_Differential_Pressure_Proportional_Band_Parameter,,,brick:Leaving_Water,brick:Differential,quantitykind:Pressure,brick:Proportional_Band_Parameter,,
brick:Leaving_Water_Flow_Sensor,,,brick:Leaving_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of water that is leaving a piece of equipment or system
brick:Leaving_Water_Flow_Setpoint,,,brick:Leaving_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of leaving water
brick:Leaving_Water_Pressure_Sensor,,,brick:Leaving_Water,,quantitykind:Pressure,brick:Sensor,,Measures the water pressure at the exit point of a system.
brick:Leaving_Water_Temperature_Alarm,,,brick:Leaving_Water,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with temperature of the leaving water.
brick:Leaving_Water_Temperature_Deadband_Setpoint,,,brick:Leaving_Water,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of leaving water
brick:Leaving_Water_Temperature_Integral_Time_Parameter,,,brick:Leaving_Water,,quantitykind:Temperature,brick:Integral_Time_Parameter,,
brick:Leaving_Water_Temperature_Proportional_Band_Parameter,,,brick:Leaving_Water,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Leaving_Water_Temperature_Sensor,,,brick:Leaving_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of water leaving a piece of equipment or system
brick:Leaving_Water_Temperature_Setpoint,,,brick:Leaving_Water,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of leaving water
brick:Level_Command,,,,,,brick:Command,Level,Adjusts the operational state to a specific level within a predefined range.
brick:Level_Status,,,,,,brick:Status,Level,The current operational state of a specific level within a predefined range.
brick:Lighting_Correlated_Color_Temperature_Command,,brick:Lighting,,,quantitykind:CorrelatedColorTemperature,brick:Command,,A command to set correlated color temperature (CCT) which is the temperature of the Planckian radiator whose perceived color most closely resembles that of a given stimulus at the same brightness and under specified viewing conditions.
brick:Lighting_Correlated_Color_Temperature_Sensor,,brick:Lighting,,,quantitykind:CorrelatedColorTemperature,brick:Sensor,,A sensor to measure correlated color temperature (CCT) which is the temperature of the Planckian radiator whose perceived color most closely resembles that of a given stimulus at the same brightness and under specified viewing conditions.
brick:Lighting_Level_Command,,brick:Lighting,,,,brick:Command,Level,Controls the amount of the light provided by the device typically in percentages.
brick:Limit,,,,,,brick:Limit,,A parameter that places an upper or lower bound on the range of permitted values of another point
brick:Liquid_Detection_Alarm,,brick:Liquid_Detection,,,,brick:Alarm,,
brick:Load_Current_Sensor,,,,,,,(deprecated),Measures the current consumed by a load
brick:Load_Parameter,,,,,,,(deprecated),
brick:Load_Setpoint,,,,,,,(deprecated),
brick:Load_Shed_Command,,brick:Load_Shed,,,,brick:Command,,Controls load shedding behavior provided by a control system
brick:Load_Shed_Differential_Pressure_Setpoint,,brick:Load_Shed,,brick:Differential,quantitykind:Pressure,brick:Setpoint,,
brick:Load_Shed_Setpoint,,brick:Load_Shed,,,,brick:Setpoint,,
brick:Load_Shed_Status,,brick:Load_Shed,,,,brick:Status,,Indicates if a load shedding policy is in effect
brick:Locally_On_Off_Status,,,,,,,(deprecated),
brick:Lockout_Status,,,,,,,(deprecated),"Indicates if a piece of equipment, system, or functionality has been locked out from operation"
brick:Lockout_Temperature_Differential_Parameter,,,,,,,(deprecated),
brick:Low_Air_Flow_Alarm,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Low_Alarm,,An alarm that indicates that the air flow is lower than normal.
brick:Low_Battery_Alarm,,brick:Battery,,,,brick:Low_Alarm,,An alarm that indicates the battery is low.
brick:Low_Discharge_Air_Flow_Alarm,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Low_Alarm,,An alarm that indicates that the discharge air flow is lower than normal.
brick:Low_Discharge_Air_Temperature_Alarm,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Low_Alarm,,
brick:Low_Freeze_Protect_Temperature_Parameter,,,,,,,(deprecated),
brick:Low_Humidity_Alarm,,,,,quantitykind:RelativeHumidity,brick:Low_Alarm,,An alarm that indicates low concentration of water vapor in the air.
brick:Low_Humidity_Alarm_Parameter,,,,,quantitykind:RelativeHumidity,brick:Low_Alarm_Parameter,,A parameter determining the humidity level at which to trigger a low humidity alarm
brick:Low_Outside_Air_Lockout_Temperature_Differential_Parameter,,,,,,,(deprecated),The lower bound of the outside air temperature lockout range
brick:Low_Outside_Air_Temperature_Enable_Differential_Sensor,,,,,,,(deprecated),
brick:Low_Outside_Air_Temperature_Enable_Setpoint,,,,,,,(deprecated),
brick:Low_Return_Air_Temperature_Alarm,,,brick:Return_Air,,quantitykind:Temperature,brick:Low_Alarm,,An alarm that indicates that return air temperature is too low
brick:Low_Suction_Pressure_Alarm,,,,,,,(deprecated),An alarm that indicates a low suction pressure in the compressor in a refrigeration or air conditioning system.
brick:Low_Supply_Air_Flow_Alarm,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Low_Alarm,,
brick:Low_Supply_Air_Temperature_Alarm,,,brick:Supply_Air,,quantitykind:Temperature,brick:Low_Alarm,,
brick:Low_Temperature_Alarm,,,,,quantitykind:Temperature,brick:Low_Alarm,,An alarm that indicates low temperature.
brick:Low_Temperature_Alarm_Parameter,,,,,quantitykind:Temperature,brick:Low_Alarm_Parameter,,A parameter determining the temperature level at which to trigger a low temperature alarm
brick:Low_Voltage_Alarm,,,,,quantitykind:Voltage,brick:Low_Alarm,,An alarm that indicates the voltage is lower than its normal state.
brick:Lowest_Exhaust_Air_Static_Pressure_Sensor,,,,,,,(deprecated),The lowest observed static pressure of air in exhaust regions of an HVAC system over some period of time
brick:Luminance_Alarm,,,,,quantitykind:Luminance,brick:Alarm,,
brick:Luminance_Command,,,,,quantitykind:Luminance,brick:Command,,Controls the amount of luminance delivered by a lighting system
brick:Luminance_Sensor,,,,,quantitykind:Luminance,brick:Sensor,,Measures the luminous intensity per unit area of light travelling in a given direction
brick:Luminance_Setpoint,,,,,quantitykind:Luminance,brick:Setpoint,,Sets luminance
brick:Maintenance_Mode_Command,,,,,brick:EnumerationKind-Maintenance_Mode,brick:Command,,"Controls whether or not a device or controller is operating in ""Maintenance"" mode"
brick:Maintenance_Required_Alarm,,,,,brick:EnumerationKind-Maintenance_Required,brick:Alarm,,An alarm that indicates that repair/maintenance is required on an associated device or equipment
brick:Manual_Auto_Status,,,,,brick:EnumerationKind-Manual_Auto,brick:Status,,Indicates if a system is under manual or automatic operation
brick:Max_Air_Flow_Setpoint_Limit,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Air_Flow_Setpoint.
brick:Max_Air_Temperature_Setpoint,,,brick:Air,,quantitykind:Temperature,brick:Max_Setpoint,,Setpoint for maximum air temperature
brick:Max_Chilled_Water_Differential_Pressure_Setpoint_Limit,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Chilled_Water_Differential_Pressure_Setpoint.
brick:Max_Cooling_Discharge_Air_Flow_Setpoint_Limit,,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Cooling_Discharge_Air_Flow_Setpoint.
brick:Max_Cooling_Supply_Air_Flow_Setpoint_Limit,,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Cooling_Supply_Air_Flow_Setpoint.
brick:Max_Discharge_Air_Static_Pressure_Setpoint_Limit,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Discharge_Air_Static_Pressure_Setpoint.
brick:Max_Discharge_Air_Temperature_Setpoint_Limit,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Discharge_Air_Temperature_Setpoint.
brick:Max_Frequency_Command,,,,,quantitykind:Frequency,brick:Max_Command,,Sets the maximum permitted frequency
brick:Max_Fresh_Air_Setpoint_Limit,,,brick:Fresh_Air,,,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Fresh_Air_Setpoint.
brick:Max_Heating_Discharge_Air_Flow_Setpoint_Limit,,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Heating_Discharge_Air_Flow_Setpoint.
brick:Max_Heating_Supply_Air_Flow_Setpoint_Limit,,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Heating_Supply_Air_Flow_Setpoint.
brick:Max_Hot_Water_Differential_Pressure_Setpoint_Limit,,,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Hot_Water_Differential_Pressure_Setpoint.
brick:Max_Limit,,,,,,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Setpoint.
brick:Max_Load_Setpoint,,,,,,,(deprecated),
brick:Max_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Occupied_Cooling_Discharge_Air_Flow_Setpoint.
brick:Max_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Occupied_Cooling_Supply_Air_Flow_Setpoint.
brick:Max_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Occupied_Heating_Discharge_Air_Flow_Setpoint.
brick:Max_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Occupied_Heating_Supply_Air_Flow_Setpoint.
brick:Max_Outside_Air_Flow_Setpoint_Limit,,,brick:Outside_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Outside_Air_Flow_Setpoint.
brick:Max_Position_Setpoint_Limit,,,,,,brick:Max_Limit,Position,A parameter that places an upper bound on the range of permitted values of a Position_Setpoint.
brick:Max_Speed_Setpoint_Limit,,,,,quantitykind:Speed,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Speed_Setpoint.
brick:Max_Static_Pressure_Setpoint_Limit,,,,,quantitykind:StaticPressure,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Static_Pressure_Setpoint.
brick:Max_Supply_Air_Static_Pressure_Setpoint_Limit,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Supply_Air_Static_Pressure_Setpoint.
brick:Max_Supply_Air_Temperature_Setpoint_Limit,,,brick:Supply_Air,,quantitykind:Temperature,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Supply_Air_Temperature_Setpoint.
brick:Max_Temperature_Setpoint_Limit,,,,,quantitykind:Temperature,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Temperature_Setpoint.
brick:Max_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Unoccupied_Cooling_Discharge_Air_Flow_Setpoint.
brick:Max_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Unoccupied_Cooling_Supply_Air_Flow_Setpoint.
brick:Max_Unoccupied_Heating_Discharge_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Unoccupied_Heating_Discharge_Air_Flow_Setpoint.
brick:Max_Unoccupied_Heating_Supply_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Max_Limit,,A parameter that places an upper bound on the range of permitted values of a Unoccupied_Heating_Supply_Air_Flow_Setpoint.
brick:Max_Water_Level_Alarm,,,brick:Water,,,brick:Max_Alarm,Level,Alarm indicating that the maximum water level was reached
brick:Max_Water_Temperature_Setpoint,,,brick:Water,,quantitykind:Temperature,brick:Max_Setpoint,,Setpoint for max water temperature
brick:Medium_Temperature_Hot_Water_Differential_Pressure_Load_Shed_Reset_Status,,brick:Load_Shed,brick:Medium_Temperature_Hot_Water,brick:Differential,quantitykind:Pressure,brick:Reset_Status,,
brick:Medium_Temperature_Hot_Water_Differential_Pressure_Load_Shed_Setpoint,,brick:Load_Shed,brick:Medium_Temperature_Hot_Water,brick:Differential,quantitykind:Pressure,brick:Setpoint,,
brick:Medium_Temperature_Hot_Water_Differential_Pressure_Load_Shed_Status,,brick:Load_Shed,brick:Medium_Temperature_Hot_Water,brick:Differential,quantitykind:Pressure,brick:Status,,
brick:Medium_Temperature_Hot_Water_Differential_Pressure_Sensor,,,brick:Medium_Temperature_Hot_Water,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in water pressure between sections of a medium temperature hot water system
brick:Medium_Temperature_Hot_Water_Differential_Pressure_Setpoint,,,brick:Medium_Temperature_Hot_Water,brick:Differential,quantitykind:Pressure,brick:Setpoint,,
brick:Methane_Level_Sensor,,,brick:CH4,,,brick:Sensor,Level,Measures the concentration of methane in air
brick:Min_Air_Flow_Setpoint_Limit,,,brick:Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Air_Flow_Setpoint.
brick:Min_Air_Temperature_Setpoint,,,brick:Air,,quantitykind:Temperature,brick:Min_Setpoint,,Setpoint for minimum air temperature
brick:Min_Chilled_Water_Differential_Pressure_Setpoint_Limit,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Chilled_Water_Differential_Pressure_Setpoint.
brick:Min_Cooling_Discharge_Air_Flow_Setpoint_Limit,,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Cooling_Discharge_Air_Flow_Setpoint.
brick:Min_Cooling_Supply_Air_Flow_Setpoint_Limit,,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Cooling_Supply_Air_Flow_Setpoint.
brick:Min_Discharge_Air_Static_Pressure_Setpoint_Limit,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Discharge_Air_Static_Pressure_Setpoint.
brick:Min_Discharge_Air_Temperature_Setpoint_Limit,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Discharge_Air_Temperature_Setpoint.
brick:Min_Frequency_Command,,,,,quantitykind:Frequency,brick:Min_Command,,
brick:Min_Fresh_Air_Setpoint_Limit,,,brick:Fresh_Air,,,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Fresh_Air_Setpoint.
brick:Min_Heating_Discharge_Air_Flow_Setpoint_Limit,,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Heating_Discharge_Air_Flow_Setpoint.
brick:Min_Heating_Supply_Air_Flow_Setpoint_Limit,,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Heating_Supply_Air_Flow_Setpoint.
brick:Min_Hot_Water_Differential_Pressure_Setpoint_Limit,,,brick:Hot_Water,brick:Differential,quantitykind:Pressure,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Hot_Water_Differential_Pressure_Setpoint.
brick:Min_Limit,,,,,,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Setpoint.
brick:Min_Load_Setpoint,,,,,,,(deprecated),
brick:Min_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Occupied_Cooling_Discharge_Air_Flow_Setpoint.
brick:Min_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Occupied_Cooling_Supply_Air_Flow_Setpoint.
brick:Min_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Occupied_Heating_Discharge_Air_Flow_Setpoint.
brick:Min_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,brick:Occupied,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Occupied_Heating_Supply_Air_Flow_Setpoint.
brick:Min_Outside_Air_Flow_Setpoint_Limit,,,brick:Outside_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Outside_Air_Flow_Setpoint.
brick:Min_Position_Setpoint_Limit,,,,,,brick:Min_Limit,Position,A parameter that places a lower bound on the range of permitted values of a Position_Setpoint.
brick:Min_Speed_Setpoint_Limit,,,,,quantitykind:Speed,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Speed_Setpoint.
brick:Min_Static_Pressure_Setpoint_Limit,,,,,quantitykind:StaticPressure,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Static_Pressure_Setpoint.
brick:Min_Supply_Air_Static_Pressure_Setpoint_Limit,,,brick:Supply_Air,,quantitykind:StaticPressure,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Supply_Air_Static_Pressure_Setpoint.
brick:Min_Supply_Air_Temperature_Setpoint_Limit,,,brick:Supply_Air,,quantitykind:Temperature,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Supply_Air_Temperature_Setpoint.
brick:Min_Temperature_Setpoint_Limit,,,,,quantitykind:Temperature,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Temperature_Setpoint.
brick:Min_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Unoccupied_Cooling_Discharge_Air_Flow_Setpoint.
brick:Min_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Unoccupied_Cooling_Supply_Air_Flow_Setpoint.
brick:Min_Unoccupied_Heating_Discharge_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Unoccupied_Heating_Discharge_Air_Flow_Setpoint.
brick:Min_Unoccupied_Heating_Supply_Air_Flow_Setpoint_Limit,brick:Unoccupied,brick:Heating,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Min_Limit,,A parameter that places a lower bound on the range of permitted values of a Unoccupied_Heating_Supply_Air_Flow_Setpoint.
brick:Min_Water_Level_Alarm,,,brick:Water,,,brick:Min_Alarm,Level,Alarm indicating that the minimum water level was reached
brick:Min_Water_Temperature_Setpoint,,,brick:Water,,quantitykind:Temperature,brick:Min_Setpoint,,Setpoint for min water temperature
brick:Mixed_Air_Flow_Sensor,,,brick:Mixed_Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of mixed air
brick:Mixed_Air_Humidity_Sensor,,,brick:Mixed_Air,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the humidity of mixed air
brick:Mixed_Air_Humidity_Setpoint,,,brick:Mixed_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for mixed air
brick:Mixed_Air_Temperature_Sensor,,,brick:Mixed_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of mixed air
brick:Mixed_Air_Temperature_Setpoint,,,brick:Mixed_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of mixed air
brick:Mode_Command,,,,,brick:EnumerationKind-Mode,brick:Command,,Controls the operating mode of a device or controller
brick:Mode_Status,,,,,brick:EnumerationKind-Mode,brick:Status,,"Indicates which mode a system, device or control loop is currently in"
brick:Motion_Sensor,,,,,brick:EnumerationKind-Motion,brick:Sensor,,Detects the presence of motion in some area
brick:Motor_Current_Sensor,,brick:Motor,,,quantitykind:ElectricCurrent,brick:Sensor,,Measures the current consumed by a motor
brick:Motor_Direction_Status,,brick:Motor,,,brick:EnumerationKind-Forward_Reverse,brick:Status,,"Indicates which direction a motor is operating in, e.g. forward or reverse"
brick:Motor_On_Off_Status,,brick:Motor,,,brick:EnumerationKind-On_Off,brick:Status,,
brick:Motor_Speed_Sensor,,brick:Motor,,,quantitykind:Speed,brick:Sensor,,
brick:Motor_Torque_Sensor,,brick:Motor,,,quantitykind:Torque,brick:Sensor,,"Measures the torque, or rotating power, of a motor"
brick:Natural_Gas_Flow_Sensor,,,brick:Natural_Gas,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of natural gas
brick:Natural_Gas_Temperature_Sensor,,,brick:Natural_Gas,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of natural gas
brick:Natural_Gas_Usage_Sensor,,,brick:Natural_Gas,,,brick:Usage_Sensor,,"Measures the amount of natural gas that is consumed or used, over some period of time"
brick:No_Water_Alarm,,,,,,,(deprecated),Alarm indicating that there is no water in the equipment or system
brick:NO2_Level_Sensor,,,brick:NO2,,,brick:Sensor,Level,Measures the concentration of NO2 in air
brick:Occupancy_Command,,,,,brick:EnumerationKind-Occupancy,brick:Command,,"Controls whether or not a device or controller is operating in ""Occupied"" mode"
brick:Occupancy_Count_Sensor,,,brick:People,,quantitykind:Count,brick:Sensor,,Sensors measuring the number of people in an area
brick:Occupancy_Sensor,,,,,brick:EnumerationKind-Occupancy,brick:Sensor,,Detects occupancy of some space or area
brick:Occupancy_Status,,,,,brick:EnumerationKind-Occupancy,brick:Status,,Indicates if a room or space is occupied
brick:Occupied_Air_Temperature_Setpoint,brick:Occupied,,brick:Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Occupied_Cooling_Discharge_Air_Flow_Setpoint,brick:Occupied,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets discharge air flow for cooling when occupied
brick:Occupied_Cooling_Mode_Status,brick:Occupied,brick:Cooling,,,brick:EnumerationKind-Mode,brick:Status,,
brick:Occupied_Cooling_Supply_Air_Flow_Setpoint,brick:Occupied,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets supply air flow rate for cooling when occupied
brick:Occupied_Cooling_Temperature_Deadband_Setpoint,brick:Occupied,brick:Cooling,,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature for cooling when occupied
brick:Occupied_Cooling_Temperature_Setpoint,brick:Occupied,brick:Cooling,,,quantitykind:Temperature,brick:Setpoint,,Sets temperature for cooling when occupied
brick:Occupied_Cooling_Zone_Air_Temperature_Setpoint,brick:Occupied,brick:Cooling,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature for zone air cooling when occupied
brick:Occupied_Discharge_Air_Flow_Setpoint,brick:Occupied,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets discharge air flow when occupied
brick:Occupied_Discharge_Air_Temperature_Setpoint,brick:Occupied,,brick:Discharge_Air,,quantitykind:Temperature,brick:Setpoint,,
brick:Occupied_Heating_Discharge_Air_Flow_Setpoint,brick:Occupied,brick:Heating,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets discharge air flow for heating when occupied
brick:Occupied_Heating_Mode_Status,brick:Occupied,brick:Heating,,,brick:EnumerationKind-Mode,brick:Status,,
